DocNr,%
43,0.34405392
47,0.21050759
49,0.11395939
59,0.17106627
64,0.19102448
66,0.28908816
87,0.365517
98,0.57206273
99,0.5262274
117,0.16868208
121,0.19502515
133,0.1907936
135,0.2575628
145,0.15674104
172,0.38269234
183,0.2733837
202,0.36049157
253,0.23309694
287,0.24494787
303,0.116973974
571,0.51361316
587,0.32650095
614,0.34413874
618,0.47798407
620,0.3935624
671,0.3603006
969,0.2822439
1043,0.18424037
1084,0.2675625
1113,0.4013449
1199,0.20501724
1218,0.14474463
1220,0.37763667
1223,0.15722027
1232,0.9198515
1257,0.20229104
1260,0.12984385
1319,0.39043954
1378,0.69796205
1382,0.7193755
1384,0.6311942
1443,0.505708
1563,0.124723606
1655,0.17530197
2008,0.11261402
2105,0.118831895
2270,0.26894775
2320,0.38415012
2325,0.25300547
2327,0.34095114
2337,0.29556885
2347,0.3881596
2348,0.3469216
2494,0.27772066
2496,0.3541007
2507,0.34977046
2510,0.27817023
2698,0.34319335
2821,0.45696735
2822,0.105280235
2824,0.35331798
2859,0.32976213
3111,0.3821264
3123,0.4368739
3128,0.44953266
3218,0.4192668
3235,0.4243706
3475,0.10518204
3535,0.10874085
3545,0.28386897
3739,0.106093936
3764,0.5094232
3770,0.37801135
3889,0.35391232
3937,0.13052298
3988,0.17774118
4153,0.41918355
4183,0.49161226
4221,0.14083293
4229,0.22796479
4287,0.49755093
4324,0.53580016
4386,0.41577113
4393,0.3405159
4483,0.1088739
4589,0.3383814
4622,0.4373645
4650,0.37305835
4656,0.27942944
4674,0.32724717
4692,0.3768958
4720,0.26569542
4724,0.29345235
4783,0.42799896
4800,0.22607006
4843,0.14428219
4863,0.12266868
5405,0.13890785
5587,0.12565748
5658,0.41961578
5701,0.46007714
5702,0.49470937
5870,0.34286803
5956,0.1538623
5972,0.21074304
6039,0.37525305
6156,0.1335691
6166,0.33834416
6251,0.33838326
6297,0.4162042
6298,0.13703296
6301,0.40894994
6335,0.13890383
6366,0.54533577
6425,0.13924778
6905,0.45515612
6910,0.6014132
6930,0.15108135
6986,0.4945603
7002,0.25384703
7038,0.15961228
7067,0.23143089
7084,0.21026331
7146,0.4601806
7152,0.5058104
7153,0.27643743
7192,0.16125847
7199,0.37020034
7238,0.2893503
7260,0.37352198
7263,0.2326646
7276,0.2089123
7302,0.101252854
7369,0.43356368
7372,0.8050599
7392,0.3430048
7411,0.36799076
7437,0.3361953
7442,0.3826728
7448,0.31008038
7449,0.17270224
7479,0.21491845
7497,0.2080355
7499,0.20697966
7501,0.20815627
7502,0.19125465
7503,0.29905686
7506,0.40827164
7511,0.19781959
7517,0.3563616
7534,0.31382805
7543,0.28797886
7547,0.30408013
7567,0.2333521
7568,0.13208622
7589,0.34983087
7645,0.12865399
7693,0.3563357
7856,0.114950344
7877,0.40834388
7884,0.5416965
7893,0.14372869
7894,0.41768944
7899,0.28419843
7918,0.10801655
7923,0.38326287
7927,0.5066301
7936,0.44060478
8150,0.52986
8388,0.106635444
8485,0.25107053
8486,0.41484597
8492,0.38639677
8493,0.3109727
8494,0.20434077
8500,0.3294607
8503,0.2944679
8522,0.4645103
8533,0.13159987
8534,0.122846186
8572,0.38008496
8578,0.3916749
8584,0.5044765
8600,0.21208693
8602,0.105577886
8609,0.32863837
8656,0.50908726
8678,0.5611242
8709,0.4096239
8720,0.35849944
8731,0.3800783
8734,0.40525675
8735,0.4025668
8744,0.52505374
8746,0.3259287
8747,0.22835848
8761,0.45622826
8762,0.37245503
8780,0.11495443
8787,0.34533167
8798,0.49063525
8800,0.22417974
8803,0.25561258
8804,0.19772868
8809,0.20576788
8810,0.2002093
8811,0.18998258
8812,0.41765904
8813,0.39627963
8816,0.27337208
8823,0.36558995
8852,0.24120896
8855,0.23463923
8860,0.25722018
8901,0.1561489
8904,0.20131588
8906,0.5851301
8915,0.10046035
8928,0.30589125
8932,0.46783298
8937,0.37325948
8939,0.29880074
8941,0.30124056
8942,0.1547244
8968,0.4760942
8972,0.20608339
8973,0.13027246
8974,0.81334865
8980,0.32364738
8983,0.2720293
8992,0.14795259
9005,0.17787188
9012,0.17015357
9013,0.12571238
9061,0.13880956
9071,0.43410882
9086,0.12846753
9091,0.12837334
9096,0.19948404
9108,0.37552246
9110,0.17178364
9111,0.17288329
9113,0.28973594
9117,0.47773454
9118,0.26566494
9119,0.31026432
9120,0.23783028
9124,0.25546783
9125,0.3289956
9126,0.1686911
9128,0.38691837
9132,0.18583754
